Full Name,First Name,Last Name,Gender,Space Flights,Space Flight Hours,Spacewalks,Spacewalk Hours,Alma Mater,Undergrad Major,Graduate Major,Achievement Count
Eileen M Collins,Eileen,Collins,Woman,4,890,0,0,Syracuse University; Stanford University; Webster University,Mathematics & Economics,Operations Research; Space Systems Management,2
Ellen Ochoa,Ellen,Ochoa,Woman,4,979,0,0,San Diego State University; Stanford University,Physics,Electrical Engineering,2
Ellen S Baker,Ellen,Baker,Woman,3,686,0,0,State University of New York-Buffalo; Cornell University; University of Texas,Geology,Medicine; Public Health,1
Elliot M See,Elliot,See,Not Found,0,0,0,0,US Merchant Marine Academy; University of California-Los Angeles,0,Engineering,1
Ellison S Onizuka,Ellison,Onizuka,Man,1,73,0,0,University of Colorado,Aerospace Engineering,Aerospace Engineering,1
Eric A Boe,Eric,Boe,Man,2,687,0,0,US Air Force Academy; Georgia Institute of Technology,Aeronautical Engineering,Electrical Engineering,1
Eugene A Cernan,Eugene,Cernan,Man,3,566,4,24,Purdue University; US Naval Postgraduate School,Electrical Engineering,Aeronautical Engineering,2
F Andrew Gaffney,Andrew,Gaffney,Not Found,1,218,0,0,University of California-Berkeley; University of New Mexico,Psychology,Medicine,2
F Curtis Michel,Curtis,Michel,Not Found,0,0,0,0,California Institute of Technology,Physics,Physics,1
Fernando Caldeiro,Fernando,Caldeiro,Not Found,0,0,0,0,University of Arizona; University of Central Florida,Mechanical Engineering,Engineering Management,1
Francis R Scobee,Francis,Scobee,Not Found,2,167,0,0,University of Arizona,Aerospace Engineering,0,2
Frank Borman,Frank,Borman,Man,2,477,0,0,US Military Academy; California Institute of Technology,0,Aeronautical Engineering,1
Frank L Culbertson,Frank,Culbertson,Man,3,3446,1,5,US Naval Academy,Aerospace Engineering,0,1
Franklin R Chang-Diaz,Franklin,Chang-Diaz,Man,7,1602,3,19,University of Connecticut; MIT,Mechanical Engineering,Applied Plasma Physics,1
Fred W Haise,Fred,Haise,Man,1,142,0,0,University of Oklahoma,Aeronautical Engineering,0,2
Fred W Leslie,Fred,Leslie,Not Found,1,381,0,0,University of Texas; University of Oklahoma,Engineering Science,Meteorology,1
Frederick D Gregory,Frederick,Gregory,Man,3,455,0,0,US Air Force Academy; George Washington University,0,Information Systems,2
Frederick H Hauck,Frederick,Hauck,Man,3,435,0,0,Tufts University; MIT,Physics,Nuclear Engineering,1
Frederick W Sturckow,Frederick,Sturckow,Man,4,1233,0,0,California Polytechnic State University,Mechanical Engineering,0,1
G David Low,David,Low,Man,3,714,1,6,Washington & Lee University; Cornell University; Stanford University,Physics & Engineering,Mechanical Engineering; Aeronautics & Astronautics,1
G Reid Wiseman,Reid,Wiseman,Not Found,1,3968,2,13,Rensselaer Polytechnic Institute; Johns Hopkins University,Computer & Systems Engineering,Systems Engineering,1
Garrett E Reisman,Garrett,Reisman,Man,2,2571,3,21,University of Pennsylvania; California Institute of Technology,Economics,Mechanical  Engineering,1
Gary E Payton,Gary,Payton,Man,1,73,0,0,US Air Force Academy; Purdue University,Astronautical Engineering,Astronautical & Aeronautical Engineering,1
